# fingerprint file for http/default_scanner
# RE: 0 (none) 1 (yes/basic) 2 (yes/case insensitive) 3 (multiple entries) 4 (yes/basic/negated)
# server, RE?, Realm, RegExp?, path/file, RE?, title, RE?, body, RE?, Name
Apache,1,NA,0,NA,0,It works,2,NA,0,Default Apache web page
Apache,1,NA,0,NA,0,Mac OS X Server,1,Welcome to your website,1,Default OSX Apache web page
Apache,1,NA,0,NA,0,dell\s-\s\S+\slogin\sscreen,2,NA,0,Dell ILOM
Apache,1,NA,0,NA,0,Remote Access Controller,1,NA,0,Dell Remote Access Controller 2
Apache,1,NA,0,EZManager\.html,1,NA,0,NA,0,FabricOS Switch Explorer
Apache,1,NA,0,switchExplorer\.html,1,NA,0,NA,0,FabricOS Switch Explorer
Apache,1,NA,0,NA,0,switch\s\x2aexplorer,2,NA,0,FabricOS Switch Explorer
Apache,1,NA,0,NA,0,Google Earth API Sample,0,NA,0,Google Earth Appliance
Apache,1,NA,0,NA,0,designjet,2,NA,0,HP DesignJet Printer
Apache,1,NA,0,NA,0,designjet (\d+),2,NA,0,HP DesignJet Printer 2
Apache,1,NA,0,\/unsec-cgi-bin\/unsec_login,2,NA,0,NA,0,Intuity Audix PBX
Apache,1,NA,0,NA,0,INTUITY AUDIX,1,NA,0,Intuity Audix PBX
Apache,1,NA,0,NA,0,Iomega NAS Manager,0,\/bootup\/welcome.html,1,IOMega NAS
Apache,1,NA,0,NA,0,Iomega NAS Manager,0,NA,0,IOMega NAS 2
Apache,1,NA,0,NA,0,,0,MultiAccess\&trade; Communications Server,1,Multitech MultiAccess Communications Server
Apache,1,NA,0,\/dfm\/report\/view\/suite,1,Licensed Software Components,1,NA,0,NetApp Operations Manager
Apache,1,NA,0,/shares/,0,My Shares,0,NA,0,Netgear ReadyNAS
Apache,1,NA,0,NA,0,Océ,1,NA,0,Océ Print Server
Apache,1,NA,0,NA,0,Login,0,FRAME name=main src=\x22\/servlet\/LoginPage\x22 scrolling=\x22auto\x22\>,1,Niksun NetDetector
Apache,1,NA,0,NA,0,Please Login,0,\/voyager\/applysf\.htm,1,Nokia IPSO appliance
Apache,1,NA,0,NA,0,NA,0,www\.snapappliance\.com,1,Overland Storage
Apache,1,NA,0,NA,0,Polycom RSS 2000,1,NA,0,Polycom VTC
Apache,1,NA,0,NA,0,^EMA,1,NA,0,Polycom VTC
Apache,1,NA,0,NA,0,Prism Index,1,NA,0,Quantum Prism NAS
Apache,1,NA,0,NA,0,PX720 Login,0,NA,0,Quantum PX720 Tape Library
Apache,1,NA,0,NA,0,Red Hat Network Proxy Server,0,NA,0,Red Hat Network Proxy Server
Apache,1,NA,0,NA,0,RW-240 PLOTCLIENT WEB,1,NA,0,Ricoh RW-240 Plotter
Apache,1,NA,0,NA,0,Scrutinizer NetFlow Analyzer,1,NA,0,Scrutinizer NetFlow Analyzer
Apache,1,NA,0,NA,0,Scyld Software,1,NA,0,Scyld Beowulf Storage Cluster
Apache,1,NA,0,NA,0,Shoreline Audio Conferencing,0,NA,0,Shoreline Audio Conferencing
Apache,1,NA,0,NA,0,^Sun Management Center,1,NA,0,Sun Management Center Web Console
Apache,1,NA,0,NA,0,Trimble NetRS,1,NA,0,Trimble NetRS GPS
Apache,1,NA,0,NA,0,^Urchin (\d+)$,1,NA,0,Urchin on Apache
Apache,1,NA,0,NA,0,xerox colorQube,2,NA,0,Xerox ColorQube Copier
Apache,1,NA,0,NA,0,xerox workcentre,2,NA,0,Xerox WorkCentre MFD 2
Apache,1,NA,0,NA,0,^\s*$,1,Oracle HTTP Server,1,Oracle HTTP Server
Apache,1,NA,0,NA,0,Webtools,1,wt2parser\.cgi,1,Xerox Fiery MFD
# this one has to be last apache as its non-specific
Apache,1,NA,0,NA,0,NA,0,NA,0,Apache Web Server
Apache Tomcat,1,NA,0,NA,0,NA,0,NA,0,Apache Tomcat/Coyote
ApacheJServ,1,NA,0,NA,0,,0,Oracle Corporation,1,Oracle Web Server
Apple Embedded Web Server,1,NA,0,NA,0,NA,0,NA,0,Apple Embedded Web Server
^Avocent DSView \d\/\S+$,1,NA,0,NA,0,NA,0,NA,0,Avocent DSView
Boa\/,1,NA,0,NA,0,NetCam,1,NA,0,AXIS Webcam 2
Boa\/,1,NA,0,NA,0,AXIS\s\S+\sNetwork\sCamera,1,NA,0,AXIS Webcam 2
Boa\/,1,NA,0,NA,0,,0,nav_e.php,1,SEH Intelligent Spooling Device
canon\shttp\sserver,2,NA,0,NA,0,NA,0,NA,0,Canon Copier
cisco-IOS,1,NA,0,NA,0,NA,0,Cisco Systems\x2c Inc\x00The device manager,3,Cisco Network Device 2
cisco,2,NA,0,NA,0,NA,0,NA,0,Cisco Network Device
cisco,2,^air,2,NA,0,NA,0,NA,0,Cisco WAP
debut\/,2,NA,0,NA,0,brother\s,2,NA,0,Brother Printer
dwhttpd\/,2,NA,0,NA,0,AnswerBook2,0,NA,0,Sun AnswerBook2
eHTTP\sv,1,NA,0,NA,0,ProCurve Switch,1,NA,0,Hewlett-Packard Switch
EMWHTTPD\/,1,NA,0,NA,0,minolta\s,1,NA,0,Konica Minolta MFD
epson-http\/,2,NA,0,NA,0,epsonnet\s,2,NA,0,Epson Printer
EWS-NIC4/11.73,0,NA,0,NA,0,\w+\d+\w+,1,NA,0,Lexmark Laser Printer
EWS-NIC4/10.66,0,NA,0,NA,0,Phaser (\S+)\s\-,1,NA,0,Xerox Phaser MFD
EWS-NIC4/8.34,0,NA,0,NA,0,Dell Color Laser \d+\w+,1,NA,0,Dell Color Laser Printer
EWS-NIC4/8.34,0,,0,NA,0,,0,NA,0,Dell Color Laser Printer
ews-nic3\/,2,NA,0,NA,0,dell\scolor\slaser\s,2,NA,0,Dell Color Laser Printer
ews-nic3\/,2,NA,0,NA,0,dell\slaser\sprinter\s,2,NA,0,Dell Laser Printer
ews\-nic,2,NA,0,NA,0,dell color laser,2,NA,0,Dell Color Laser Printer
ews\-nic,2,NA,0,NA,0,/\S+\s\-\S+,1,NA,0,Lexmark Copier 2
ews\-nic,2,NA,0,NA,0,/X\d\d\d\w\s\-\sX\d\d\d\w\-,1,NA,0,Lexmark Copier 2
foundry[\s|\_]networks,2,NA,0,NA,0,NA,0,NA,0,Foundry Network Device
GoAhead-Webs,1,NA,0,NA,0,NA,0,window\.location\.href \= \x22\/page\/login.html\x22,1,American Megatrends MegaRac
GoAhead-Webs,1,NA,0,NA,0,MCU Default Page,0,NA,0,Cisco IP VTC
GoAhead-Webs,1,NA,0,NA,0,Login,1,\.\.\/Images\/Login\/GWlogin.jpg,1,Cisco IPVC
GoAhead-Webs,1,NA,0,NA,0,^Avocent Switch,1,NA,0,Cyclades Avocent Switch
GoAhead-Webs,1,NA,0,NA,0,Cyclades Web Manager,1,NA,0,Cyclades Out-of-band Management 1
GoAhead-Webs,1,NA,0,NA,0,Cyclades\-\S+ Web Manage,1,NA,0,Cyclades Out-of-band Management 2
GoAhead-Webs,1,NA,0,NA,0,Cyclades\-TS800 Web Management Service,1,NA,0,Cyclades Out-of-band Management 3
GoAhead-Webs,1,NA,0,NA,0,authentication page,1,NA,0,Dell Network Switch
GoAhead-Webs,1,NA,0,NA,0,unauthorized,1,NA,0,Dell Network Switch
GoAhead-Webs,1,NA,0,NA,0,HP Power Manager,0,NA,0,HP Power Manager T
GoAhead-Webs,1,NA,0,NA,0,^Index$,1,function AutoLang,1,Lexmark Copier 3
GoAhead-Webs,1,NA,0,\/configurad\/home,2,\/configurad\/cover_frame,2,NA,0,RAD Data NAS
GoAhead-Webs,1,NA,0,NA,0,Login,0,\<\!-- Raritan logo --\>,1,Raritan Dominion PDU
GoAhead-Webs,1,NA,0,NA,0,Nexsan,1,NA,0,Nexsan NAS
GoAhead-Webs,1,NA,0,NA,0,Nexsan SATABeast,1,NA,0,Nexsan SATABeast NAS
GoAhead-Webs,1,NA,0,NA,0,Authentication,0,\<td class\=\x22authHeading\x22 align\=\x22center\x22\>Authenticate with Login and Password\!\<\/td\>,1,Tripp-Lite
Gordian Embedded,1,NA,0,NA,0,,0,NA,0,Lantronix Switch
Gordian Embedded,1,NA,0,NA,0,Lantronix,1,NA,0,Lantronix Switch
HP Web Jetadmin,1,NA,0,NA,0,NA,0,NA,0,HP Jetadmin
httpd,0,NA,0,/start.html,0,,0,NA,0,Dell ILOM
HP\-ChaiSOE,1,NA,0,NA,0,NA,0,NA,0,HP Printer 2
HP\-ChaiSOE,1,NA,0,NA,0,LaserJet \w\w\d\d\d\d,1,NA,0,HP Printer 2
HP\-ChaiSOE,1,NA,0,NA,0,LaserJet \w{1\x2c2}\d\d\d\d,1,NA,0,HP Printer 2
HP\-ChaiSOE,1,NA,0,NA,0,NA,0,\<option\s+value=\x22x\x22\>(Printer|Device) Serial Number\:,1,HP Printer 2
HP\-ChaiSOE,1,NA,0,NA,0,LaserJet \d\d\d\d,1,NA,0,HP Printer 3
HP\-ChaiSOE,1,NA,0,NA,0,Digital Sender,1,NA,0,HP Scanner 1
HP\-ChaiServer\/\d\.\d,1,NA,0,NA,0,LaserJet \d\d\d\d,1,NA,0,HP Printer 2
HP\-ChaiServer\/\d\.\d,1,NA,0,NA,0,NA,0,NA,0,HP Printer 2
HP\-ChaiServer\/3\.0,1,NA,0,NA,0,LaserJet \w\w\d\d\d\d,1,NA,0,HP Printer Z
^HTTP\/1\.0,1,NA,0,NA,0,NA,0,NA,0,HP Printer 2
^HTTP\/1\.0,1,NA,0,NA,0,Digital\s\x2aSender,1,NA,0,HP Scanner 1
^HTTP\/1\.0,1,NA,0,NA,0,\w\w\d\d\d\d,1,NA,0,Imagistics Copier
^HTTP\/1\.0,1,NA,0,NA,0,401 Not Authorized,1,NA,0,Imagistics Copier
^HTTP\/1\.0,1,NA,0,NA,0,^\w\w\-\w{1\x2c2}\d{1\x2c3},1,NA,0,Sharp Printer 1
^HTTP\/1\.0,1,NA,0,NA,0,INDEX PAGE,1,NA,0,Sharp Printer 1
^HTTP\/1\.0,1,NA,0,NA,0,\s-\s\w\w\-\d\d\d\d\w,1,NA,0,Sharp Printer 2
^HTTP\/1\.0,1,NA,0,NA,0,TOP PAGE,1,NA,0,Sharp Printer 3
HTTPD,0,NA,0,NA,0,NA,0,NA,0,Panasonic Network Camera
^InterNiche Technologies WebServer,1,NA,0,NA,0,Canopy,1,NA,0,Motorola Canopy WAP
^InterNiche Technologies WebServer,1,NA,0,NA,0,,0,NA,0,Motorola Canopy WAP
IQ3,0,NA,0,NA,0,NA,0,NA,0,Trend IQ3XCite Building Automation System
IVC Enterprise Video Server,0,NA,0,NA,0,NA,0,NA,0,IVC Webcam
^jc-httpd\/,2,NA,0,NA,0,NA,0,NA,0,Kyocera Copier
^Jigsaw\/,1,NA,0,NA,0,NA,0,location\.href\=\x22\/servlet\/controller\?cmd\=start\x22,1,Océ Print Server
^km-httpd\/,2,NA,0,NA,0,,0,NA,0,Kyocera MFD
^KM_HTTP-Server\/,1,NA,0,NA,0,NA,0,NA,0,Kyocera Copier
^lighttpd,1,NA,0,NA,0,^Shared Storage Manager,1,NA,0,Western Digital Shared Storage
^lighttpd,1,NA,0,NA,0,Polycom,1,NA,0,Polycom VTC 2
LPC Http Server\/,1,NA,0,NA,0,konica minolta,2,NA,0,Minolta Copier 2
Mbedthis-Appweb,1,NA,0,NA,0,,0,NA,0,Dell Remote Access Controller 3
^Micro-HTTP\/,1,NA,0,NA,0,NA,0,Copyright Tektronix,1,Tektronix Printer
microHttpd\/,1,NA,0,NA,0,iPocket232,1,NA,0,Precidia iPocket232
microHttpd\/,1,NA,0,NA,0,Ether232Plus,1,NA,0,Precidia Ether232Plus
Microsoft-IIS\/5\.1,1,NA,0,NA,0,LaCie NAS Administration,1,NA,0,LaCie NAS
Microsoft-IIS\/5\.1,1,NA,0,NA,0,DiBos - Login,1,NA,0,Bosch Dibos CCTV
Microsoft-IIS\/5\.1,1,NA,0,NA,0,WebAgent,0,NA,0,Digiop WebAgent Camera
Microsoft-IIS\/5\.1,1,NA,0,NA,0,You are not authorized to view this page,1,NA,0,Microsoft IIS Web Server (Access Restricted)
Microsoft-IIS\/5\.1,1,Neogitate\x2c NTLM\x2c Basic realm,0,NA,0,Error,0,NA,0,Microsoft IIS Web Server (Password Required)
Microsoft-IIS\/5\.1,1,NA,0,NA,0,Directory Listing Denied,0,NA,0,Microsoft IIS Web Server (No Index/Directory Listing Denied)
Microsoft-IIS\/5\.1,1,NA,0,NA,0,Under\sConstruction,2,NA,0,Microsoft IIS Web Server (Default IIS web page)
Microsoft-IIS\/5\.1,1,NA,0,NA,0,NA,0,NA,0,Microsoft IIS Web Server
Microsoft-IIS,1,NA,0,NA,0,WebDVR,1,NA,0,Pelco WebDVR 2
Microsoft-IIS,1,NA,0,NA,0,DiBos - Loginm,1,NA,0,Bosch Dibos CCTV
Microsoft-IIS,1,NA,0,NA,0,PaperVision - Login,0,NA,0,DigiTech Papervision
Microsoft-IIS,1,NA,0,NA,0, Orion Network Performance Monitor,0,NA,0,Solarwinds Orion Network Monitor
Microsoft-IIS,1,NA,0,NA,0,  AtHoc\x2c Inc. :: Management System Login,0,NA,0,AtHoc IWSAlerts Management System
Microsoft-IIS,1,NA,0,NA,0,You are not authorized to view this page,1,NA,0,Microsoft IIS Web Server (Access Restricted)
Microsoft-IIS,1,Negotiate\x2c NTLM\x2c Basic realm,0,NA,0,Error,0,NA,0,Microsoft IIS Web Server (Password Required)                   <---- problem here
Microsoft-IIS,1,NA,0,NA,0,Directory Listing Denied,0,NA,0,Microsoft IIS Web Server (No Index/Directory Listing Denied)
Microsoft-IIS,1,NA,0,NA,0,Under\sConstruction,2,NA,0,Microsoft IIS Web Server (Default IIS web page)
Microsoft-IIS,1,NA,0,NA,0,IIS7,0,NA,0,Microsoft IIS Web Server (Default IIS7 web page)
Microsoft-IIS,1,NA,0,NA,0,Index of,2,NA,0,Microsoft IIS Web Server (No Index)
Microsoft-IIS,1,NA,0,NA,0,NA,0,NA,0,Microsoft IIS Web Server
\d+\.\d+_Pub,1,NA,0,NA,0,NA,0,NA,0,Microsoft IIS Web Server
Microsoft-WinCE\/,1,NA,0,NA,0,Projector LAN Control,1,NA,0,NEC Webcam
Micro-Web,0,NA,0,NA,0,NA,0,NA,0,Overland Storage TLC
micro_httpd,1,BUFFALO,1,NA,0,NA,0,NA,0,Buffalo WAP
Micro-Web,0,NA,0,NA,0,NA,0,NA,0,Win VOIP System
^mini_httpd,1,NA,0,NA,0,,0,NA,0,QLogic SANSurfer
^MSIWB,1,NobleGUI,1,NA,0,NA,0,NA,0,Sun T3 Storage
MoxaHttp,1,NA,0,NA,0,NPort Web Console,1,NA,0,Moxa Switch
NetApp\/\d+,1,NA,0,NA,0,403 Forbidden,0,NA,0,NetApp NetCache
NetApp\/\d+,1,NA,0,NA,0,NA,0,a href=\/na_admin\/\>\/na_admin\/,1,NetApp NAS
NetApp\/\/\d+,1,NA,0,NA,0,403 Forbidden,0,NA,0,NetApp NetCache
NetApp\/\/\d+,1,NA,0,NA,0,NA,0,a href=\/na_admin\/\>\/na_admin\/,1,NetApp NAS
NetEVI\/,1,NA,0,NA,0,NA,0,NA,0,Sony Webcam
netport\ssoftware\s,2,NA,0,NA,0,VSX\s\d+\w,1,NA,0,Polycom VTC 2
netport\ssoftware\s,2,NA,0,NA,0,,0,NA,0,Polycom VTC 2
netport\ssoftware\s,2,NA,0,NA,0,\s-\sPolycom\s\'\+,1,NA,0,Polycom VTC 5
netport\ssoftware\s,2,NA,0,NA,0,'\+sysName\+'\s\-\s\'\+titleModel,1,NA,0,Polycom VTC 2
^Netscape-Enterprise\/,1,NA,0,NA,0,NA,0,NA,0,Netscape Enterprise Web Server
NetworkScanner WebServer,1,NA,0,NA,0,NA,0,NA,0,Kyocera Network Scanner
^Oracle-Application-Server-(\S+)\/\x2a,1,NA,0,NA,0,NA,0,href=\x22\/demo\/\x22,1,Oracle Application Server (with demos)
^Oracle-Application-Server-(\S+)\/\x2a,1,NA,0,NA,0,NA,0,NA,0,Oracle Application Server
oracle\sdatabase,2,NA,0,NA,0,NA,0,NA,0,Oracle Web Application
PelcoNet,1,NA,0,NA,0,NA,0,NA,0,Pelco CCTV
PEWG\/,1,NA,0,NA,0,^Print Exec,1,NA,0,Océ Print Server 2
